ID,Word
0,巨
1,薇
2,榕
3,室
4,圓
5,觀
6,橋
7,特
8,梅
9,務
10,琪
11,isnull
12,穎
13,心
14,問
15,仕
16,田
17,涵
18,逸
19,術
20,兒
21,地
22,松
23,鳳
24,優
25,尚
26,曜
27,欣
28,區
29,東
30,石
31,之
32,璟
33,北
34,好
35,健
36,專
37,宏
38,英
39,鏡
40,豪
41,沈
42,卓
43,銓
44,暘
45,建
46,餐
47,喬
48,儒
49,曉
50,語
51,呂
52,人
53,蓁
54,周
55,珠
56,黃
57,券
58,盟
59,發
60,簡
61,呈
62,范
63,瑜
64,薛
65,藝
66,祥
67,傳
68,民
69,震
70,工
71,豐
72,閔
73,芷
74,位
75,施
76,翠
77,鈞
78,書
79,經
80,眾
81,數
82,權
83,晶
84,朝
85,強
86,名
87,保
88,社
89,男
90,維
91,真
92,生
93,妤
94,忠
95,加
96,金
97,本
98,康
99,房
100,丁
101,策
102,義
103,秀
104,紘
105,貴
106,水
107,可
108,院
109,利
110,不
111,何
112,時
113,台
114,艾
115,彩
116,連
117,治
118,琴
119,騰
120,久
121,郎
122,佩
123,聖
124,群
125,彰
126,江
127,致
128,科
129,店
130,俊
131,芳
132,洪
133,宸
134,縣
135,祐
136,環
137,碧
138,業
139,展
140,達
141,助
142,捷
143,果
144,大
145,廷
146,雄
147,球
148,莊
149,誼
150,司
151,啟
152,邱
153,輝
154,寬
155,伯
156,力
157,期
158,賜
159,煒
160,械
161,伊
162,禾
163,德
164,霖
165,文
166,于
167,關
168,韋
169,灣
170,同
171,隆
172,許
173,客
174,敏
175,美
176,婷
177,修
178,陽
179,峰
180,商
181,允
182,場
183,傅
184,織
185,活
186,翔
187,萍
188,耀
189,志
190,具
191,冷
192,百
193,總
194,冠
195,顯
196,惠
197,鄭
198,辰
199,胡
200,元
201,員
202,技
203,雪
204,立
205,聲
206,險
207,魏
208,網
209,汽
210,家
211,燕
212,產
213,馮
214,消
215,旭
216,永
217,映
218,企
219,嘉
220,斌
221,陳
222,詠
223,壽
224,媒
225,風
226,克
227,漢
228,福
229,智
230,貿
231,青
232,曾
233,意
234,清
235,枝
236,普
237,慧
238,國
239,事
240,珍
241,易
242,林
243,振
244,製
245,里
246,材
247,年
248,協
249,食
250,基
251,舜
252,航
253,仲
254,屬
255,天
256,教
257,陞
258,琳
259,玉
260,常
261,卿
262,團
263,純
264,覽
265,煜
266,鼎
267,診
268,嬌
269,炳
270,設
271,洲
272,幼
273,和
274,堂
275,研
276,王
277,佑
278,悅
279,曹
280,巫
281,昭
282,廣
283,財
284,車
285,館
286,進
287,昇
288,古
289,娟
290,碩
291,盛
292,西
293,鋒
294,籌
295,煌
296,理
297,玻
298,采
299,原
300,娥
301,崇
302,師
303,鴻
304,星
305,任
306,湯
307,璃
308,善
309,皇
310,聰
311,裝
312,新
313,開
314,斯
315,證
316,貞
317,恩
318,翰
319,中
320,華
321,方
322,謝
323,際
324,明
325,合
326,興
327,得
328,賀
329,所
330,居
331,宜
332,菊
333,備
334,毅
335,誠
336,思
337,亞
338,郁
339,鵬
340,化
341,勤
342,吟
343,宣
344,蘭
345,茂
346,格
347,羽
348,紹
349,宗
350,蓮
351,拉
352,亨
353,爾
354,聚
355,顏
356,麒
357,勇
358,憶
359,柔
360,其
361,銘
362,孫
363,賴
364,雯
365,阿
366,謙
367,鐘
368,程
369,城
370,輪
371,世
372,先
373,臻
374,御
375,公
376,介
377,堡
378,料
379,正
380,千
381,趙
382,奇
383,綺
384,海
385,全
386,禮
387,扶
388,學
389,空
390,蕭
391,包
392,多
393,郭
394,限
395,邦
396,徐
397,塑
398,秦
399,培
400,泓
401,資
402,益
403,憲
404,遠
405,杰
406,晨
407,品
408,霞
409,源
410,信
411,茶
412,藍
413,葉
414,馨
415,睿
416,影
417,賢
418,傑
419,翁
420,章
421,私
422,伍
423,股
424,菱
425,晴
426,款
427,旅
428,寧
429,音
430,晟
431,劉
432,部
433,李
434,法
435,圖
436,君
437,鈺
438,有
439,竣
440,揚
441,育
442,政
443,綸
444,素
445,賃
446,貨
447,錦
448,佳
449,幸
450,希
451,侯
452,自
453,凍
454,倉
455,儀
456,電
457,津
458,瑛
459,坤
460,超
461,兆
462,白
463,宋
464,士
465,萱
466,鋼
467,詩
468,通
469,流
470,樓
471,苑
472,紀
473,創
474,重
475,防
476,運
477,富
478,衛
479,秋
480,廈
481,印
482,梁
483,愷
484,唐
485,神
486,體
487,器
488,五
489,交
490,玲
491,景
492,友
493,日
494,匠
495,投
496,孟
497,高
498,山
499,迅
500,谷
501,彭
502,典
503,奕
504,局
505,駿
506,婉
507,毓
508,刷
509,燿
510,游
511,喜
512,菁
513,鍾
514,蘇
515,旺
516,處
517,會
518,報
519,詹
520,膠
521,歐
522,昱
523,淑
524,光
525,晉
526,敬
527,廖
528,能
529,姜
530,容
531,葳
532,川
533,視
534,浩
535,珊
536,丞
537,飾
538,管
539,愛
540,勝
541,造
542,長
543,調
544,暉
545,武
546,木
547,秉
548,莉
549,春
550,療
551,虹
552,南
553,禎
554,潔
555,亮
556,顧
557,屋
558,怡
559,蔣
560,馬
561,庭
562,瓊
563,麗
564,代
565,倫
566,堯
567,律
568,氣
569,鋐
570,韻
571,記
572,姿
573,雅
574,軒
575,臺
576,寓
577,主
578,欽
579,門
580,筱
581,園
582,戴
583,麟
584,芸
585,漁
586,厚
587,瑄
588,絲
589,杜
590,森
591,宇
592,鋁
593,小
594,築
595,慈
596,花
597,岳
598,上
599,統
600,玫
601,內
602,訊
603,靜
604,峻
605,偉
606,敦
607,境
608,祺
609,盈
610,凱
611,萬
612,雨
613,牙
614,飲
615,盧
616,雲
617,妮
618,升
619,月
620,安
621,茹
622,潤
623,凌
624,泉
625,如
626,昶
627,物
628,蔡
629,戶
630,寶
631,鑫
632,衣
633,樺
634,油
635,泰
636,琦
637,委
638,侑
639,服
640,承
641,朱
642,照
643,沛
644,靖
645,租
646,巧
647,宥
648,閎
649,紙
650,若
651,燦
652,詮
653,榮
654,裕
655,翊
656,澄
657,三
658,博
659,京
660,彬
661,池
662,媛
663,醫
664,余
665,順
666,皓
667,營
668,珮
669,桃
670,米
671,鈴
672,迪
673,竹
674,實
675,恆
676,鎧
677,良
678,來
679,腦
680,齊
681,僑
682,吉
683,哲
684,分
685,子
686,瑞
687,匯
688,市
689,吳
690,土
691,成
692,賓
693,樹
694,蕙
695,作
696,念
697,洋
698,芬
699,密
700,用
701,柯
702,婕
703,頂
704,聯
705,廠
706,昌
707,妹
708,張
709,柏
710,護
711,桂
712,託
713,紋
714,平
715,行
716,昕
717,復
718,鉅
719,棋
720,銷
721,潘
722,樂
723,機
724,登
725,鐵
726,份
727,瑩
728,弘
729,彥
730,鄧
731,澤
732,告
733,整
734,紅
735,女
736,藥
737,酒
738,昆
739,太
740,旻
741,計
742,系
743,威
744,琇
745,蓉
746,億
747,坊
748,苗
749,融
750,綠
751,仁
752,道
753,銀
754,言
755,香
756,定
757,村
758,慶
759,飛
760,姚
761,央
762,勁
763,楊
764,帝
765,勳
766,龍
767,磊
768,拓
769,集
770,鈦
771,緯
772,添
773,首
774,農
775,堅
776,沙
777,羅
778,動
779,卉
780,貝
781,伶
782,色
783,守
784,竑
785,申
786,精
787,班
788,職
789,瑋
790,瀚
791,董
792,買
793,芝
794,黎
795,鎮
796,仙
797,淨
798,舒
799,鑽
800,應
